ID,incidentId,createdAt,createdBy,modifiedAt,modifiedBy,title,description,status,severity,priority,businessImpact,affectedUsers,customerImpact,responseDueAt,respondedAt,resolutionDueAt,resolvedAt,system_ID,reportedBy_ID,assignedTo_ID,supportTeam_ID,sla_priority,masterIncident_ID,isDuplicate,alertSent

df3bb831-2be3-4695-8995-3f9d37f6d30a,IN001,2026-06-11T08:00:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30a,2026-06-11T08:30:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30b,CPI Interface Failure,Orders not syncing,Open,Critical,P1,Order Processing Impacted,500,true,2026-06-11T09:00:00Z,2026-06-11T08:15:00Z,2026-06-11T12:00:00Z,,64574184-c650-4ac7-8a77-9f7e12251bc6,df3bb831-2be3-4695-8995-3f9d37f6d30b,df3bb831-2be3-4695-8995-3f9d37f6d30b,de8c4cc9-4a57-470e-ba3d-db3243f0e0e2,P1,,false,true

b748c55c-ef20-4ddb-857b-07ae58819f12,IN002,2026-06-11T09:00:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30a,2026-06-11T09:30:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30d,S4 Login Issue,Users unable to login,Assigned,High,P2,Employee Productivity Impacted,120,false,2026-06-11T10:00:00Z,2026-06-11T09:30:00Z,2026-06-11T18:00:00Z,,306272e9-3dec-4dd8-8e5b-7949445cddee,df3bb831-2be3-4695-8995-3f9d37f6d30b,df3bb831-2be3-4695-8995-3f9d37f6d30d,73f570f7-b873-4c78-937a-d2b4f2d539cd,P2,,false,false

a4824424-5177-49bd-bbc4-e429a3a61c86,IN003,2026-06-11T13:00:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30a,2026-06-11T13:20:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30e,SuccessFactors Report Error,Report generation failed,InProgress,Medium,P3,Reporting Delay,50,false,2026-06-11T14:00:00Z,2026-06-11T13:20:00Z,2026-06-12T14:00:00Z,,66dd6d9c-653d-4432-9b43-85228c72336d,df3bb831-2be3-4695-8995-3f9d37f6d30b,df3bb831-2be3-4695-8995-3f9d37f6d30e,8cef2417-821b-4438-8838-962372174e60,P3,,false,false

1585856c-7945-431d-b443-2abbe2c251a4,IN004,2026-06-10T09:00:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30a,2026-06-10T16:30:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30d,SAP Login Failure,Users unable to login to SAP,Resolved,High,P2,Employee Productivity Impacted,150,false,2026-06-10T10:00:00Z,2026-06-10T09:15:00Z,2026-06-10T18:00:00Z,2026-06-10T16:30:00Z,306272e9-3dec-4dd8-8e5b-7949445cddee,df3bb831-2be3-4695-8995-3f9d37f6d30a,df3bb831-2be3-4695-8995-3f9d37f6d30d,73f570f7-b873-4c78-937a-d2b4f2d539cd,P2,,false,true

42989997-b588-4323-a1ed-b0b864ae4cd4,IN005,2026-06-11T09:10:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30c,2026-06-11T09:10:00Z,df3bb831-2be3-4695-8995-3f9d37f6d30c,SAP Login Failure Duplicate,Another user reported same SAP login issue,Open,High,P2,Employee Productivity Impacted,20,false,2026-06-11T10:00:00Z,,2026-06-11T18:00:00Z,,306272e9-3dec-4dd8-8e5b-7949445cddee,df3bb831-2be3-4695-8995-3f9d37f6d30c,df3bb831-2be3-4695-8995-3f9d37f6d30d,73f570f7-b873-4c78-937a-d2b4f2d539cd,P2,b748c55c-ef20-4ddb-857b-07ae58819f12,true,false
